index,message,reply
1209,"Yes you are right, we can't see it because most of the water is underneath us. ",Oooo imagine the animals in the unexplored water world we have not seen yet. 4.5 million years old and the world has animals in its oceans for quite some time now. Like the lizards. 
1210,Oooo imagine the animals in the unexplored water world we have not seen yet. 4.5 million years old and the world has animals in its oceans for quite some time now. Like the lizards. ,"when the earth was first formed a day was only 5.5 hours long. It was nice chatting with you, have a good night."
1211,"when the earth was first formed a day was only 5.5 hours long. It was nice chatting with you, have a good night.",Did you know that summer was considered a bad time to release a movie?
1212,Did you know that summer was considered a bad time to release a movie?,In the past it may have been. 
1213,In the past it may have been. ,"Yes, it was until Jaws was released. That was a scary movie back in the day."
1214,"Yes, it was until Jaws was released. That was a scary movie back in the day.","Yeah, that was a good movie. Did you like it? "
1215,"Yeah, that was a good movie. Did you like it? ",I use to. I think I have seen it too many times now. Spielberg played the clarinet for the soundtrack.
1216,I use to. I think I have seen it too many times now. Spielberg played the clarinet for the soundtrack.,"Yeah, that is pretty interesting. Did you see the Goonies? "
1217,"Yeah, that is pretty interesting. Did you see the Goonies? ",I have. That is a cute movie. I love how they get the jewels at the end to pay the mortgage.
1218,I have. That is a cute movie. I love how they get the jewels at the end to pay the mortgage.,It is pretty good. I'm fairly certain Stranger Things is a rip off of it. 
1219,It is pretty good. I'm fairly certain Stranger Things is a rip off of it. ,I've never seen that movie. There are so many rip-offs these days.
1220,I've never seen that movie. There are so many rip-offs these days.,It is a show on Netflix actually. The first season isn't that bad. 
1221,It is a show on Netflix actually. The first season isn't that bad. ,"I don't have Netflix. These days, I'm sure that sounds weird."
1222,"I don't have Netflix. These days, I'm sure that sounds weird.",I don't either. I saw it at a friends house. 
1223,I don't either. I saw it at a friends house. ,I heard that Netflix is losing a lot of money because of password sharing. Did you know Tom Hanks is the highest all-time box office star? I would believe it.
1224,I heard that Netflix is losing a lot of money because of password sharing. Did you know Tom Hanks is the highest all-time box office star? I would believe it.,"Yeah, that could be, they are creating a lot of their own content. "
1225,"Yeah, that could be, they are creating a lot of their own content. ",All the streaming channels seem to be doing that now.
1226,All the streaming channels seem to be doing that now.,"Yeah, that is pretty cool. Do you use Roku? "
1227,"Yeah, that is pretty cool. Do you use Roku? ","Yes, I love my ROKU."
1228,"Yes, I love my ROKU.",Do you recommend getting one of them? 
1229,Do you recommend getting one of them? ,"I would definitely. You can also get Netflick, Hulu. I have Amazon Prime which has lots of channels."
1230,"I would definitely. You can also get Netflick, Hulu. I have Amazon Prime which has lots of channels.",Oh cool. Then maybe I will check that out. Are you a Tom Hanks fan? 
1231,Oh cool. Then maybe I will check that out. Are you a Tom Hanks fan? ,I truly am. I draw charcoal portraits and I have drawn a picture of him. He is an amazing actor. I also like Robin Williams. I noticed he did a lot of movies about dying.
1232,I truly am. I draw charcoal portraits and I have drawn a picture of him. He is an amazing actor. I also like Robin Williams. I noticed he did a lot of movies about dying.,"I think he is a great actor. Well, nice chatting with you!"
1233,"I think he is a great actor. Well, nice chatting with you!",Nice chatting with you too.
1234,Nice chatting with you too.,Do you know much about the Bible?
1235,Do you know much about the Bible?,some yes
1236,some yes,Did you know that has sold over an estimated 5 billion copies?  Wow.
1237,Did you know that has sold over an estimated 5 billion copies?  Wow.,I knew it was perhaps the most sold and published book of all time
1238,I knew it was perhaps the most sold and published book of all time,Yes. Prior to 1963 it was not uncommon for students in the US to be required to read from the bible as part of their elementary eduction!
1239,Yes. Prior to 1963 it was not uncommon for students in the US to be required to read from the bible as part of their elementary eduction!,Yes I lived in the Southern US for a while and they still use that at times
